word,count
얘기,1
싸움,1
경우,1
냄비,1
불쾌하다,1
상관없다,1
쾌적하다,1
구경,1
눈물,1
자반,1
핑,1
랬,1
각각,1
특징,1
읍니,1
구성은,1
캔,1
뱅,1
에돔,1
깃밥,1
한몫,1
업로드,1
원픽,1
철회,1
답,1
복어,1
이렇겐,1
애초,1
회을,1
타지,1
무시,1
찍어ㅤㄴㅘㅅ,1
먹을껄,1
안감,1
싸구려,1
오후,1
씽씽하다,1
이나,1
분경,1
창,1
투명하다,1
더니,1
쫄깃합니,1
군더더기,1
이해,1
질감,1
반,1
곧,1
짝짝,1
크기,1
햇,1
뒤,1
회지,1
고숩,1
건의,1
여주시,1
건강하다,1
니,1
개별,1
좌르르,1
진하다,1
세심,1
대부분,1
쌀,1
쪼,1
문제,1
오늘,1
수질,1
탁월하다,1
두번ㅤㅉㅒㅤ,1
깊다,1
랩위,1
로병,1
윤기,1
출몰,1
장난,1
불친절,1
싫어하다,1
놀랍다,1
벼농사,1
화,1
개불,1
실내,1
만해,1
옷,1
킬러,1
어머니,1
오붓하다,1
조심스럽다,1
수족관,1
활발하다,1
확인,1
안심,1
아저씨,1
ㅤㅅㅑㅆ,1
인테리어,1
편,1
룸,1
자꾸,1
손질,1
겨우,1
기대하다,1
말로,1
표현,1
방법,1
서귀포시,1
록,1
쫀득하,1
광고,1
최대,1
흡족하다,1
일정하다,1
정말루,1
면알,1
비릿했,1
첫인상,1
부터,1
쏙,1
오기,1
별,1
자랑,1
잘먹엇어용,1
특자,1
아쉬움,1
차만,1
지도,1
디,1
아보,1
소홀하다,1
여직원,1
외국인,1
안통,1
더럽다,1
서서,1
넝수,1
톰,1
여러분,1
밥맛,1
추강,1
랄,1
홍보,1
대안,1
뭐해,1
마중,1
사채,1
그게,1
새롭다,1
부디,1
간절하다,1
뻥,1
난리,1
관광지,1
비굿굿굿,1
여성,1
분만,1
법,1
물가,1
척척,1
남성,1
위,1
불편,1
체크,1
은기,1
조절,1
언니,1
시댁,1
갈래,1
싸하다,1
껍찔,1
토,1
치한,1
마넌,1
여태,1
의향,1
끈,1
모처럼,1
형제,1
풀,1
앞바다,1
장관,1
촉촉,1
하하,1
헤어스타일,1
바삭,1
써비,1
명물,1
굴,1
비려,1
알바,1
대충,1
대답,1
절묘하다,1
쪼금,1
감탄사,1
어찌,1
덕,1
자석,1
분리,1
닥,1
그닥,1
워낙,1
간장,1
조화,1
다나,1
태풍,1
속상하다,1
결재,1
난건,1
쿠폰,1
칼질,1
집합,1
맘껏,1
부담,1
매니저,1
예상,1
결제,1
공짜,1
사이다,1
한참,1
관광,1
기념,1
차별,1
연달,1
야속하다,1
진정,1
계산법,1
미안하다,1
주심,1
인연,1
등를,1
ㅤㅇㅢㅇ,1
무고,1
지고,1
부랴부랴,1
따닥따닥,1
하자,1
중인,1
사회,1
두기,1
전문점,1
