사업장명,도로명전체주소,상세영업상태명
마씸(Massim),제주특별자치도 서귀포시 성산읍 환해장성로 129-1,영업
제주대패돈삼겹,제주특별자치도 서귀포시 남원읍 태위로 690-8,영업
고기어때?,"제주특별자치도 서귀포시 남원읍 태위로689번길 11, 1층",영업
속초코다리냉면산방산점,"제주특별자치도 서귀포시 안덕면 사계로114번길 54-62, 1층",영업
해비치쉼터,제주특별자치도 서귀포시 표선면 표선중앙로 109,영업
사계주막,"제주특별자치도 서귀포시 안덕면 형제해안로 13-1, 1층 (사계어촌계)",영업
본초불닭발서홍동점,"제주특별자치도 서귀포시 홍중로 52, 1층 (서홍동)",영업
라운지에스,"제주특별자치도 서귀포시 중문관광로72번길 75, 3층 (색달동)",영업
신팔도강산,제주특별자치도 서귀포시 남원읍 태위로 82,영업
편운산방,제주특별자치도 서귀포시 성산읍 서성일로 898-38,영업
연송갈치요리,제주특별자치도 서귀포시 칠십리로 145 (서귀동),영업
산들치킨,제주특별자치도 서귀포시 중산간동로 8003 (동홍동),영업
남양수산,제주특별자치도 서귀포시 성산읍 고성동서로56번길 11,영업
포레스타,제주특별자치도 서귀포시 칠십리로 264 (토평동),영업
난타5000피자강정지구점,"제주특별자치도 서귀포시 대청로25번길 10-8, 1층 (강정동)",영업
교촌치킨서귀포혁신도시점,"제주특별자치도 서귀포시 신서귀로97번길 55, 1층 (강정동)",영업
오라오라,"제주특별자치도 서귀포시 홍중로 73, 1층 (서홍동)",영업
이디아장,제주특별자치도 서귀포시 안덕면 산방로 214,영업
위미테이블,제주특별자치도 서귀포시 남원읍 태위로 180,영업
형제섬보말칼국수,"제주특별자치도 서귀포시 대정읍 형제해안로 318, 1층",영업
여우와놀던닭보목점,제주특별자치도 서귀포시 칠십리로 474 (보목동),영업
중문예지원,제주특별자치도 서귀포시 천제연로 129 (중문동),영업
흑돼지자투리구이식당,제주특별자치도 서귀포시 천지로 42 (서귀동),영업
해맞이동산,제주특별자치도 서귀포시 표선면 번영로 2658-2,영업
첨밀밀양고기,제주특별자치도 서귀포시 표선면 표선동서로 234,영업
토평원,제주특별자치도 서귀포시 토평서로44번길 2 (토평동),영업
강희네,제주특별자치도 서귀포시 서문서로55번길 2 (서귀동),영업
에이스,제주특별자치도 서귀포시 일주동로 8545 (동홍동),영업
푸주옥서귀포점,제주특별자치도 서귀포시 신서귀로 3 (법환동),영업
돼지궁뎅이,제주특별자치도 서귀포시 중앙로41번길 7 (서귀동),영업
뿐이네밥집,제주특별자치도 서귀포시 검은여로 178 (토평동),영업
앤모슬포점,제주특별자치도 서귀포시 대정읍 상모로 311-1,영업
