사업장명,id
컴플리트,0000
GS25연동바다점,17017273
소림김밥,16844134
지에스25과원점,0000
씨유제주제성점,36605881
지에스25연동시티점,0000
망고식스신제주점,0000
투썸플레이스제주연동점,31317204
카페띠아모신제주점,0000
GS한라수목원,1840859584
씨유제주은남점,16838903
아지트,0000
수목원스낵,0000
지에스25제주도청점,16847894
온에어PC방제주본점,806297391
디저트39연동점,1042646265
달콤커피제니아점,0000
커피림,33770744
맛있는간식,0000
신전떡볶이연동직영점,1514324471
나눔김밥,34569134
수목원커피숍,1052257282
커피비터스윗,1658921482
씨유연동세일점,31074281
놀러와플,1520230798
퓨전상회,1774389463
다올김밥분식,32161240
GS25연동국기점,21759322
써브웨이신제주연동신시가지점,0000
보리빵마을,11554518
에스페셜,0000
바세츠아이스크림제원점,0000
수제홍과일모찌,36778958
지에스25연동중앙점,873689491
다경,0000
진가커피,618595850
지에스25연동아산점,1671061492
큰아들,0000
GS25연동대림점,17013185
비아제주,36995278
델문도제주도립미술관점,1667500120
마마,0000
쏭툰,1780864799
만땅피씨연동점,0000
아레나엑스피시방,1111294280
파스쿠찌제주한라병원점,1642097365
피자굽는아저씨,20067954
지에스25연동누리안,31790674
대감님밥상앤덮밥집앤파스타비앤요맛나제주연동점,0000
농협중앙회북제주군지부구내,0000
플로베일배움터,0000
토방속에장독대,1650501767
씨유제주신성점,16838999
삐끄니끄,1005455511
엔제리너스한라수목원점,36948225
요거프레소바오젠점,37447485
쥬씨연동점,0000
씨유제주과원점,19344463
노블레스호텔,16843494
베스킨라빈스연동점,0000
지에스25제주연중점,32041696
미미,0000
리치망고신제주점,36480244
심지유향,33806566
아이갓에브리씽,1485880207
화목원,36528232
나무식탁,0000
하나로슈퍼,0000
아이언피씨구내,0000
지에스25크라운점,32162981
롯데참피온백화점구내,0000
삼광,0000
담소,0000
베스킨라빈스롯데참피온점,0000
춤추는염소들,31181053
스터딩키친열공부엌,0000
마농떡볶이,32163553
하나맘김밥,1507647411
삼해인관광호텔구내,0000
미쓰수제고로케신라면세점점,0000
메가엠지씨커피제주연동점,1142988320
일번가,0000
(주)지앤엘,91817745
탐앤탐스신제주점,11807852
미스터피자신제주점,11586897
2003원조신덴뿌라떡볶이,0000
서희원꼬지닷컴한라점,32163372
이디야커피연동점,11839556
미쓰고로케,0000
제주코아호텔구내,0000
석화,0000
지정환임실치즈피자신제주점,0000
꼬또분식,0000
호텔스카이파크구내,0000
망고버스연동점,0000
세븐일레븐제주연동북타운점,21762009
이지,0000
까페제주웰컴센터,1434076284
주)에이스팜플러스,0000
플로베롯데점,1802599292
세븐일레븐제주동서타워점,21760144
지에스25연동신라점,37308698
드롭탑누웨모루점,1813748543
메가엠지씨커피제주도청점,0000
팔공티노형점,1750563379
(주)파라볼레시더스카페제주연동점,0000
카페무,1817380776
청자다방제주1호점,1209641395
토끼언니외계인,0000
유캔두잇신제주점,1446822497
인피넛티,1823132071
세븐일레븐제주연미마을점,1273369477
에이더블유더블유더블유,753249744
연동스카이브릿지피시,0000
에그드랍신제주연동점,1312013655
씨유제주연동아랑점,1731658446
젬마초콜릿과자점,1512769168
더클럽하우스,1087961498
오마뎅제주연동점,1774795774
제라한속풀이,1918814576
데일리커피앤디저트,1703303994
태평양,0000
씨유제주제성마을점,1194008769
송유기,1790042509
세븐일레븐제주로얄점,31874250
씨유제주트리플시티점,1244352649
비하이브,1100951202
타이틀리그피씨카페,1956534493
에이바우트커피연북로점,1007334332
제주앨리스연동점,1908950644
에이바우트커피삼무공원점,0000
볕이드는곳벧디2호,0000
미미고신제주연동점,0000
카페토스피아제주연동점,1437759886
요거프레소제주제원점,0000
국제꿀꽈배기,1171513168
씨유제주연미길점,1712236017
트립1849,1193912491
해를품은달,0000
윤스타푸드트럭,0000
컴포즈커피연동사거리점,0000
지에스25연동하이츠빌점,1674399398
요거트아이스크림맛집연동점,0000
오빠생각타코야끼,1085773115
세븐일레븐제주더호텔점,21758339
감성커피연동점,1715804343
지에스25제주바오젠점,36210206
지에스25연동베스트점,1160727898
바른식빵연동점,0000
지에스25연동은수길점,1048496065
너븐팡,0000
감성커피한라병원점,1837981761
씨유제주국기점,1602815189
세븐일레븐제주연동도호점,21762199
행복밀랩스앤길드,0000
크로플덕오리아가씨제주점,1895961058
씨유제주연동사거리점,1159370867
세븐일레븐제주에코블루점,37875519
지미네커피,1191028140
사뿐,35674155
비마이볼,1979550166
에이바우트한라수목원점,1273254613
씨유제주남해오네뜨점,1890548274
디저트39제주연동대야점,1664044778
제주연동긱스타빽다방,1112844001
원더캣츠,1371757889
로얄호텔지하매점,0000
메가엠지씨커피제주롯데시티점,0000
컴포즈커피연동점,0000
빅브라더,0000
보스턴수제버거,0000
씨유제주디오션시티점,1193889652
봄봄카페오일장점,1883732255
빽다방제주연동사거리점,1570244855
줄리브신제주점,1360730509
노기다제주특별자치도의회점,1071812678
샌드잇츠,1425823823
앤유피시방신제주점,1919815078
배스킨라빈스제주도청점,1563837472
커피핌,1895274072
해피로피씨제주연동점,0000
아임누,1438286897
디오커피랩,1199129210
세븐일레븐제주현대오피스텔점,20981140
봄봄신제주점,1118328501
푸르릇,0000
세븐일레븐제주연동제일점,21764132
헬시바비,1727009274
씨유제주스카이점,16839006
이룸갤러리카페,1014912342
읍천리382제주연동점,1118715545
