사업장명,도로명전체주소,상세영업상태명
레드향샤브샤브,"제주특별자치도 제주시 한경면 녹차분재로 564, 1층",영업
인디언썸머,"제주특별자치도 제주시 애월읍 애월로4길 9, 1층",영업
로스트앤헤븐,"제주특별자치도 제주시 테우해안로 162, 1층 (이호일동)",영업
고향향토장터,"제주특별자치도 제주시 추자면 추자로 576, 신양어촌계 1층",영업
헬렌앤마리,"제주특별자치도 제주시 관덕로8길 11, 1층 102호 (이도일동, 극동행복그린)",영업
메종글래드제주부처,"제주특별자치도 제주시 노연로 80, 메종글래드 제주 1층 (연동)",영업
토대력스마일점,"제주특별자치도 제주시 서광로 264, 1층 (삼도일동)",영업
협재머겅가게,"제주특별자치도 제주시 한림읍 한림로 349-1, 1층",영업
족발야시장노형점,"제주특별자치도 제주시 다랑곶1길 9, 1층 (노형동)",영업
동귀리갈칫집,"제주특별자치도 제주시 월랑로 83, 1층 (노형동)",영업
마라하오구제주점,"제주특별자치도 제주시 광양6길 2, 1층 102호 (이도일동)",영업
서프라이즈,"제주특별자치도 제주시 조천읍 남조로 2243, 1동 1층",영업
런던다락,"제주특별자치도 제주시 한림읍 한림로 335, D동 1층",영업
우도로93,"제주특별자치도 제주시 우도면 우도로 93, 1층",영업
약산흑염소가든,"제주특별자치도 제주시 대동길 2, 2층 (이호이동)",영업
모닥치기아라,"제주특별자치도 제주시 인다9길 8, 1층 (아라일동)",영업
신이내린닭앤냠냠숯불두마리치킨,"제주특별자치도 제주시 신설로9길 48, 1층 (이도이동)",영업
코끼리휴게소점빵,"제주특별자치도 제주시 흥운길 73, 1층 (용담이동)",영업
제로웨이,"제주특별자치도 제주시 원남6길 58, 1층 (도남동)",영업
협재술집김씨술생활,"제주특별자치도 제주시 한림읍 한림로 406, 2층",영업
족발야시장일도점,"제주특별자치도 제주시 고마로 145, 1층 (일도이동)",영업
명호,"제주특별자치도 제주시 신대로12길 15, 1층 (연동)",영업
김녕에사는김영훈,"제주특별자치도 제주시 구좌읍 김녕로6길 2, 1층",영업
카페책자국,"제주특별자치도 제주시 구좌읍 종달로1길 117, 1층",영업
대나무집,"제주특별자치도 제주시 정존1길 2, 1층 (노형동)",영업
카페분식이다,"제주특별자치도 제주시 구남로2길 25, 1층 (이도이동)",영업
차롱전복칼국수,"제주특별자치도 제주시 서해안로 468-4, 1층 (용담삼동)",영업
커뮤니티라운지,"제주특별자치도 제주시 동문로 16, 2층 (일도일동)",영업
역전할머니맥주연동점,"제주특별자치도 제주시 노연로 108, 1층 (연동)",영업
카페원웨이,"제주특별자치도 제주시 한경면 일주서로 4459-4, 1,2층",영업
칠칠판,"제주특별자치도 제주시 신산로 61, 1층 (일도이동)",영업
가장맛있는족발이도점,"제주특별자치도 제주시 승천로 72, 1층 (아라이동)",영업
남이네육개장,"제주특별자치도 제주시 서사로 62, 1층 (삼도일동)",영업
스토브온제주,"제주특별자치도 제주시 한림읍 중산간서로 4062, 나동 1층",영업
협재1번가,"제주특별자치도 제주시 한림읍 협재1길 1, 1층",영업
현카페,"제주특별자치도 제주시 조천읍 함덕18길 1, 지하1층",영업
제주맛족,"제주특별자치도 제주시 서사로 75, 1층 (삼도이동)",영업
더그레이스,"제주특별자치도 제주시 한경면 낙수로 276, 1층",영업
청양양복점,"제주특별자치도 제주시 남광로2길 39-6, 햇살하우스 1층 (이도이동)",영업
한이장식당,"제주특별자치도 제주시 조천읍 중산간동로 667, 1층",영업
고향모밀촌,"제주특별자치도 제주시 일주동로 358, 1층 (삼양이동)",영업
순수한둠비,"제주특별자치도 제주시 서문로 37-11, 2층 (용담일동)",영업
오오야마,"제주특별자치도 제주시 광양13길 6-1, 1층 (이도이동)",영업
케이투엠,"제주특별자치도 제주시 다랑곶5길 10, 1층 (노형동)",영업
별미집본점,"제주특별자치도 제주시 월랑로10길 17, 1층 (노형동)",영업
소리가있는풍경,"제주특별자치도 제주시 아란서길 110, A동 1층 (아라일동)",영업
치킨파티,"제주특별자치도 제주시 신성로10길 37, 1층 (이도이동, 목성빌라)",영업
비손식당,"제주특별자치도 제주시 구좌읍 해맞이해안로 1926-3, A동 1층",영업
양화정함덕점,"제주특별자치도 제주시 조천읍 신북로 491, 1층",영업
건입동백설공주,"제주특별자치도 제주시 중앙로1길 34-6, 1층 (건입동)",영업
곱창이야기연동점,"제주특별자치도 제주시 신대로14길 43, 1층 (연동)",영업
이벤트당구클럽,"제주특별자치도 제주시 고마로 32, 2층 (일도이동)",영업
