사업장명,도로명전체주소
삼해인관광호텔구내,제주특별자치도 제주시 도령로 108 (연동)
킹,제주특별자치도 제주시 노연로 지하 139 (연동)
모스트,제주특별자치도 제주시 신광로10길 지하 25 (연동)
해장길,"제주특별자치도 제주시 신대로12길 7, 1층 (연동)"
미송식탁,제주특별자치도 제주시 삼무로11길 36 (연동)
부산서면양곱창,"제주특별자치도 제주시 연동8길 8, 1층 (연동)"
두루두루,"제주특별자치도 제주시 삼무로3길 14 (연동,(성두5로22))"
풍전양곱창,"제주특별자치도 제주시 연동8길 32 (연동,(도호1로42))"
연정,제주특별자치도 제주시 신광로10길 29 (연동)
인생포차,"제주특별자치도 제주시 연문4길 17, 1층 (연동)"
투다리신제주점,"제주특별자치도 제주시 신대로16길 52 (연동,(연중6로13))"
피아노맨,"제주특별자치도 제주시 신대로16길 39, 2층 (연동)"
마산초원아구찜2호점,제주특별자치도 제주시 삼무로3길 46 (연동)
이뚱돼지,제주특별자치도 제주시 연동8길 8 (연동)
달빛무리,제주특별자치도 제주시 삼무로3길 18 (연동)
에프엘이엑스,제주특별자치도 제주시 신대로16길 51 (연동)
차돌집,제주특별자치도 제주시 신대로10길 29 (연동)
대관령,"제주특별자치도 제주시 신대로16길 56 (연동,(연중6로5))"
삼해인관광호텔구내,제주특별자치도 제주시 도령로 108 (연동)
베이스노트,"제주특별자치도 제주시 선덕로5길 21, 1층 (연동)"
슬로우식스,"제주특별자치도 제주시 삼무로 48, 1층 (연동)"
포동정식도청점,"제주특별자치도 제주시 문송길 18, 1층 (연동)"
이쯔모,제주특별자치도 제주시 연동4길 12 (연동)
여,"제주특별자치도 제주시 신광로10길 23, 지하층 (연동)"
노가네전이랑국수,"제주특별자치도 제주시 신광로8길 3, 1층 (연동)"
슈퍼보틀,"제주특별자치도 제주시 은남1길 46, 1~2층 (연동)"
크라운호프연동점,"제주특별자치도 제주시 신대로 125, 1층 (연동)"
내가좋아하는것들,"제주특별자치도 제주시 신광로6길 1, 1층 (연동)"
경성통닭,"제주특별자치도 제주시 연오로 62, 1층 (연동)"
로얄호프,"제주특별자치도 제주시 신대로12길 45, 제주로얄호텔 1층 (연동)"
화정연화,"제주특별자치도 제주시 선덕로3길 44, 1층 (연동)"
낭푼밥상,"제주특별자치도 제주시 연동6길 28, 1층 (연동, 영일빌라)"
거북이,제주특별자치도 제주시 국기로3길 9-9 (연동)
갓포아키제주도점,"제주특별자치도 제주시 노연로 80, 메종글래드 제주 1층 (연동)"
철수네숯불갈비,"제주특별자치도 제주시 연북로 170, 1층 (연동)"
원조부안집연동점,"제주특별자치도 제주시 신대로16길 41, 1층 2호 (연동)"
정직한초밥,"제주특별자치도 제주시 신대로12길 10, 1층 101호 (연동)"
온도라,"제주특별자치도 제주시 연화로3길 15-1, 1층 (연동)"
브라더카페,"제주특별자치도 제주시 신대로14길 51, 2층 (연동)"
보름달,"제주특별자치도 제주시 신대로10길 38, 1층 (연동)"
쁘띠레브더가든,"제주특별자치도 제주시 삼무로7길 29, 1층 (연동)"
삼무흑돼지,"제주특별자치도 제주시 삼무로 38, 1층 (연동)"
더시그니처,"제주특별자치도 제주시 신광로 47, 2층 (연동)"
명인만두,"제주특별자치도 제주시 신광로4길 9, 1층 2호 (연동)"
헤이샐러드,"제주특별자치도 제주시 연동12길 28-13, 1층 (연동)"
화목원,"제주특별자치도 제주시 연화남길 41, A동 1층 (연동)"
신이가네,"제주특별자치도 제주시 신대로10길 22, 101호 (연동)"
제주포램,"제주특별자치도 제주시 국기중길 4 (연동,(국기1로 2))"
죠스떡볶이제주제원점,제주특별자치도 제주시 신광로 48 (연동)
난타5000연동신광점,"제주특별자치도 제주시 성신로 24, 1층 (연동)"
지지지,"제주특별자치도 제주시 신대로 104, A,B동 1층 (연동)"
쭈쭈,"제주특별자치도 제주시 연동7길 25 (연동,(지하1층))"
먹자,제주특별자치도 제주시 남녕로8길 3-2 (연동)
차포차,제주특별자치도 제주시 신대로16길 41 (연동)
은희네해장국2호점,"제주특별자치도 제주시 연북로 178 (연동,외1필지(1층))"
가락국수,제주특별자치도 제주시 연동9길 25 (연동)
가이,"제주특별자치도 제주시 연동8길 29, 110호 (연동,풀하우스)"
사랑방,제주특별자치도 제주시 신대로16길 37-1 (연동)
마라신화마라탕신라점,"제주특별자치도 제주시 노연로 61, 104호 (연동)"
처갓집양념치킨호프연동점,"제주특별자치도 제주시 사장2길 31, 1층 (연동)"
희랑김밥,"제주특별자치도 제주시 신대로13길 18, 1층 (연동)"
제주돈가스,"제주특별자치도 제주시 국기로 14, 상가동 202호,203호 (연동, 대림이편한세상아파트)"
초원오리,제주특별자치도 제주시 연동14길 10 (연동)
은남두루치기,제주특별자치도 제주시 은남4길 41 (연동)
퐁낭그늘,"제주특별자치도 제주시 성신로 30 (연동,가형 101호)"
양양밥집,"제주특별자치도 제주시 신대로18길 7, 1층 (연동)"
달떡볶이신제주점,"제주특별자치도 제주시 제원1길 23, 106호 (연동)"
케이엠지엠신제주점,"제주특별자치도 제주시 신광로 63, 2층 (연동)"
최고밥상,"제주특별자치도 제주시 은남길 18, 1층 (연동)"
절친포차,제주특별자치도 제주시 삼무로3길 20 (연동)
이모밥상,"제주특별자치도 제주시 연북로 173, 1층 (연동)"
그린웰주식회사제주도청점,제주특별자치도 제주시 문연로 6 (연동)
만선바다,"제주특별자치도 제주시 삼무로1길 6, 1층 (연동)"
달료포차,제주특별자치도 제주시 신광로8길 6 (연동)
치타,제주특별자치도 제주시 신광로4길 7 (연동)
릴리펏제주점,"제주특별자치도 제주시 노연로 80, 제주그랜드호텔 1층 (연동)"
푸라닭제주연동점,"제주특별자치도 제주시 성신로1길 23, 1층 (연동)"
모슬포해물농산,"제주특별자치도 제주시 선덕로5길 18, 2층 (연동)"
신이내린닭신제주신이점,"제주특별자치도 제주시 국기로 50, 1층 (연동)"
봉하깡통구이,"제주특별자치도 제주시 삼무로3길 36 (연동,(성두5로62))"
대아갈비,제주특별자치도 제주시 연동4길 6-2 (연동)
에버호텔구내,"제주특별자치도 제주시 삼무로 75, 1층 (연동)"
봄촌,"제주특별자치도 제주시 연북로 166, 1~2층 (연동)"
파리의연인,"제주특별자치도 제주시 신대로7길 1, 평화장여관 지하1층 (연동)"
또또,"제주특별자치도 제주시 성신로1길 11 (연동,(성신1로9))"
맘스터치연동점,"제주특별자치도 제주시 삼무로 23, 1층 (연동)"
솔담,"제주특별자치도 제주시 은남3길 32, 1층 (연동)"
연동대게회타운,"제주특별자치도 제주시 신대로 125, 1층 (연동)"
린스,제주특별자치도 제주시 신대로14길 34 (연동)
어촌마당,제주특별자치도 제주시 은남4길 37 (연동)
더헤이븐,"제주특별자치도 제주시 제원4길 10-1, 1~2층 (연동)"
아리나블루문,"제주특별자치도 제주시 국기로 35, 4층 (연동)"
오딘,"제주특별자치도 제주시 신대로14길 49, 3층 (연동)"
케이하우스,"제주특별자치도 제주시 노연로 61 (연동,101호,102호)"
당근포차,"제주특별자치도 제주시 노연로 134, 1층 (연동)"
대어호,"제주특별자치도 제주시 연동4길 12, 1층 (연동)"
누룩대통령,"제주특별자치도 제주시 연동11길 24, 1층 (연동)"
삼다칼국수,제주특별자치도 제주시 문송1길 2 (연동)
니하오,제주특별자치도 제주시 국기로 49 (연동)
돈오름숯불갈비제원점,"제주특별자치도 제주시 신광로 36, 1층 (연동)"
부가네얼큰이신시가지점,"제주특별자치도 제주시 연화로 41, 1층 (연동)"
24시뼈다귀탕신제주점,제주특별자치도 제주시 삼무로 47 (연동)
굽네치킨연동점,"제주특별자치도 제주시 연동10길 4, 1층 (연동)"
리젠트,"제주특별자치도 제주시 신대로18길 45 (연동,(사장2로 75))"
외가집,제주특별자치도 제주시 신대로14길 5 (연동)
사천훠궈,"제주특별자치도 제주시 신대로16길 50, 2층 (연동)"
황구촌,"제주특별자치도 제주시 신대로10길 14 (연동,(성두4로18))"
비비큐신연동점,"제주특별자치도 제주시 연화로1길 15 (연동,(연화1로1))"
제일갈비,제주특별자치도 제주시 연동10길 13 (연동)
전주토속청국장,제주특별자치도 제주시 귀아랑길 9 (연동)
빨간집연동점,제주특별자치도 제주시 신대로 126 (연동)
준이자까야,"제주특별자치도 제주시 국기로 6 (연동,(지하1층))"
두남자이야기,제주특별자치도 제주시 삼무로 77 (연동)
파크사이드호텔구내,"제주특별자치도 제주시 도령로 126, 파크사이드호텔 지하1층 (연동)"
풍천만가,"제주특별자치도 제주시 아연로 40, 1층 (연동)"
통영바다장어구이,제주특별자치도 제주시 신대로10길 47 (연동)
소주방아지트,"제주특별자치도 제주시 신대로18길 39, 지하1층 (연동)"
모니카옛날통닭,제주특별자치도 제주시 도령로13길 16-3 (연동)
중화양꼬치,제주특별자치도 제주시 신대로16길 50 (연동)
스페이스비어펍,"제주특별자치도 제주시 신대로16길 51, 3층 (연동)"
만한반점,"제주특별자치도 제주시 연동1길 37, 1층 102호 (연동, 이화주택)"
맛장터,제주특별자치도 제주시 신대로13길 10 (연동)
두루와,제주특별자치도 제주시 삼무로 23 (연동)
난타오천연동점,"제주특별자치도 제주시 연화로2길 7, 1층 (연동)"
지지고부치고,"제주특별자치도 제주시 연동11길 33, 1층 (연동)"
화연,"제주특별자치도 제주시 신광로 78, 1층 (연동)"
신번지,"제주특별자치도 제주시 신대로20길 52 (연동,(1층))"
엄마가차린밥상연동점,"제주특별자치도 제주시 연화로 49, 1층 (연동)"
가인,"제주특별자치도 제주시 제원1길 23, 103호 (연동)"
서진향해장국신제주점,"제주특별자치도 제주시 삼동길 60, 1층 (연동)"
동협한라회초밥,"제주특별자치도 제주시 제원2길 38, 102호 (연동)"
부가부가부가네얼큰이제원점,"제주특별자치도 제주시 제원길 14 (연동,한서빌딩 103호)"
진낙지앤,제주특별자치도 제주시 연화로2길 31 (연동)
마메종,제주특별자치도 제주시 신대로8길 40 (연동)
돈잇수다,"제주특별자치도 제주시 연화로2길 17-7, 1층 (연동)"
죽마고우,제주특별자치도 제주시 연화로2길 20 (연동)
홍초불닭연동점,"제주특별자치도 제주시 신대로16길 56 (연동,(연중6로5))"
스페샬유나이티드점,제주특별자치도 제주시 신광로10길 20 (연동)
친구,"제주특별자치도 제주시 남녕로 50, 지하 1층 (연동)"
호텔시리우스,"제주특별자치도 제주시 도령로 133, 지하1지상1층 (연동)"
산촌,제주특별자치도 제주시 성신로 15 (연동)
스크류쿨제원점,"제주특별자치도 제주시 신광로 44-1, 2층 (연동)"
원조제원깡통숯불구이,"제주특별자치도 제주시 제원길 19, 1층 (연동)"
담담매운갈비연구소,"제주특별자치도 제주시 연동7길 41, 1층 (연동)"
케이오늘,"제주특별자치도 제주시 연동8길 28, 1층 3호 (연동)"
미스칠,"제주특별자치도 제주시 일주서로 7831, 1층 (연동)"
제주분식,"제주특별자치도 제주시 귀아랑길 23 (연동,(1층))"
멘부리제주,제주특별자치도 제주시 신광로8길 5 (연동)
제주닭한마리,"제주특별자치도 제주시 연동7길 30, 지하1층 (연동)"
곰탕제작소신제주점,"제주특별자치도 제주시 노연로 95, 1층 (연동)"
보기플레이,"제주특별자치도 제주시 과원북4길 84, 1층 (연동)"
백두산갈비앤냉면,"제주특별자치도 제주시 은남4길 5, 101호 (연동)"
올래파이,"제주특별자치도 제주시 국기로2길 11, 1층 (연동)"
통큰장어신제주점,"제주특별자치도 제주시 신대로 60, 1층 (연동)"
대박왕갈비연동점,제주특별자치도 제주시 신광로1길 13 (연동)
신신식당,"제주특별자치도 제주시 도령로 124, 지하1층 (연동)"
만운성,제주특별자치도 제주시 과원북4길 93 (연동)
대박집,"제주특별자치도 제주시 국기로1길 15 (연동,(1층))"
쓰레빠,"제주특별자치도 제주시 신대로16길 44, 2층 (연동)"
금안이네국수,"제주특별자치도 제주시 제원길 3, 1층 (연동)"
웰빙밥도둑,제주특별자치도 제주시 연동8길 9 (연동)
이가네일품해장국신제주점,제주특별자치도 제주시 성신로 15 (연동)
둥지,"제주특별자치도 제주시 신대로14길 50, 1층 (연동)"
롯데지알에스풀바,"제주특별자치도 제주시 도령로 83, 6층 (연동)"
주민상회신광점,"제주특별자치도 제주시 성신로1길 25, 1층 (연동)"
신제주삼보,제주특별자치도 제주시 신대로16길 10 (연동)
길,제주특별자치도 제주시 삼무로3길 14 (연동)
문성반점,제주특별자치도 제주시 연동4길 12-9 (연동)
번개포차본점,제주특별자치도 제주시 연동9길 18 (연동)
언노운아지트,제주특별자치도 제주시 국기중길 25 (연동)
산전수전인생역전,제주특별자치도 제주시 은남길 40 (연동)
꼬방,제주특별자치도 제주시 신대로12길 21 (연동)
퀸스,"제주특별자치도 제주시 연동9길 25, 2층 (연동)"
금정무오리목점,"제주특별자치도 제주시 연동8길 21, 1층 (연동)"
황금돈가,"제주특별자치도 제주시 국기로2길 4 (연동,(1층))"
해녀바당,제주특별자치도 제주시 삼무로 11-1 (연동)
족발슈퍼연동점,"제주특별자치도 제주시 노연로 135, 1층 (연동)"
탐라도새기천국,"제주특별자치도 제주시 도령북길 2-4, 1층 (연동)"
쏘바,"제주특별자치도 제주시 연동4길 28-16, 지하102호 (연동)"
뜨르르,"제주특별자치도 제주시 신대로9길 9, 1층 (연동)"
파티장,"제주특별자치도 제주시 신대로16길 39, 지하1층 (연동)"
롯데지알에스씨카페,"제주특별자치도 제주시 도령로 83, 22층 (연동, 롯데시티호텔제주)"
베네토,제주특별자치도 제주시 신대로8길 5 (연동)
(주)서촌제 스시100,"제주특별자치도 제주시 은수길 65, D동 1층 (연동)"
마라양꼬치,제주특별자치도 제주시 신대로16길 44 (연동)
구제포,"제주특별자치도 제주시 연동4길 28-16, 1층 101호 (연동, 뉴전원빌라)"
금룡관광호텔구내(2층),제주특별자치도 제주시 삼무로 79 (연동)
신미조리,제주특별자치도 제주시 문송1길 2 (연동)
주다방제원점,"제주특별자치도 제주시 신대로16길 52, 2층 (연동)"
뽄쟁이,"제주특별자치도 제주시 신대로6길 21, 지하1층 (연동)"
제주국담,제주특별자치도 제주시 신대로12길 17 (연동)
훈이숯불갈비,"제주특별자치도 제주시 신광로10길 24 (연동,(1층))"
삼오칠회센타,제주특별자치도 제주시 신대로16길 33 (연동)
엄블랑호다,"제주특별자치도 제주시 사장길 15, 1층 (연동)"
미스터와규,제주특별자치도 제주시 은남3길 33 (연동)
신사본가송탄부대찌개,제주특별자치도 제주시 신대로10길 28 (연동)
오라방라운지,"제주특별자치도 제주시 은수길 69, 1층 (연동)"
또순이모부페,"제주특별자치도 제주시 연동11길 30, 1층 (연동)"
램스키친,"제주특별자치도 제주시 국기로 35, 3층 (연동)"
롯데스파랜드구내,제주특별자치도 제주시 신광로 52 (연동)
마라샹궈전문점매운향솥,제주특별자치도 제주시 은남1길 31 (연동)
모퉁이에머릿돌,제주특별자치도 제주시 신대로10길 34 (연동)
이게밥도둑,"제주특별자치도 제주시 삼무로7길 23, 1층 (연동)"
